reaction_id,flux_slow,flux_fast,flux_ratio,DRF_category,Formula,Pathways_list,Pathways,Pathway_Groups_list,Pathway Groups
CHLPCTD,0.011412292528783,0.0128253593755266,1.1238197183589274,Unchanged,choline phosphate(1-) + CTP + proton --> CDPcholine + Diphosphate,['Glycerophospholipid Metabolism'],Glycerophospholipid Metabolism,['Lipid metabolism'],Lipid metabolism
CHOLESTTDe,-0.0004833976207801,-0.0005432517780405,1.1238197183589944,Unchanged,cholesterol <==> Chsterol c,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
CHOLESTle,0.006244456584851,0.0070176434404918,1.1238197183589274,Unchanged,Water + cholesterol ester --> R total + Chsterol c + proton,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
CHOLK,0.011412292528783,0.0128253593755266,1.1238197183589274,Unchanged,ATP + Choline --> ADP + choline phosphate(1-) + proton,['Glycerophospholipid Metabolism'],Glycerophospholipid Metabolism,['Lipid metabolism'],Lipid metabolism
CHOLtu,0.0035921317244387,0.0040369084628668,1.1238197183589085,Unchanged,Choline <==> Choline,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
CLSm_hs,0.0001563856819346,0.0001757493130271,1.1238197183588572,Unchanged,CDP-diacylglycerol(2-) + phosphatidylglycerol(1-) --> cardiolipin + CMP + proton,['Glycerophospholipid Metabolism'],Glycerophospholipid Metabolism,['Lipid metabolism'],Lipid metabolism
CO2t,-0.4518041665138707,-0.4703048105784553,1.0409483697490793,Unchanged,carbon dioxide <==> carbon dioxide,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
CO2tm,-2.802411534065288,-2.8826158271416618,1.0286197412840454,Unchanged,carbon dioxide <==> carbon dioxide,"['Transport, Mitochondrial']","Transport, Mitochondrial",['Mitochondrial transport'],Mitochondrial transport
COAtim,0.0892198560433508,0.1002670334906631,1.1238197183589338,Unchanged,Coenzyme A <==> Coenzyme A,"['Transport, Mitochondrial']","Transport, Mitochondrial",['Mitochondrial transport'],Mitochondrial transport
CSm,0.5501629958172702,0.5599733315170398,1.0178316894708561,Unchanged,Acetyl-CoA + Water + Oxaloacetate --> Citrate + Coenzyme A + proton,"['2-oxocarboxylic Acid Metabolism', 'Biosynthesis Of Amino Acids', 'Citric Acid Cycle', 'Glyoxylate And Dicarboxylate Metabolism']",2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Citric Acid Cycle; Glyoxylate And Dicarboxylate Metabolism,"['2-oxocarboxylic Acid Metabolism', 'AA other', 'Central Energy Metabolism', 'Glyoxylate And Dicarboxylate Metabolism']",2-oxocarboxylic Acid Metabolism; AA other; Central Energy Metabolism; Glyoxylate And Dicarboxylate Metabolism
CTPS2,0.0127684881183608,0.0143494787210455,1.1238197183589238,Unchanged,ATP + L-glutamine + Water + UTP --> ADP + CTP + L-glutamate(1-) + 2.0 proton + hydrogenphosphate,"['Nucleotide Metabolism', 'Pyrimidine Metabolism', 'Pyrimidine Synthesis']",Nucleotide Metabolism; Pyrimidine Metabolism; Pyrimidine Synthesis,['Nucleotide metabolism'],Nucleotide metabolism
CYOOm3,3.2619491313498004,3.3425306175962306,1.0247034772774293,Unchanged,4.0 Ferrocytochrome C + 7.92 proton + O2 --> 4.0 Ferricytochrome c + 1.96 Water + 4.0 proton + 0.02 superoxide,['Oxidative Phosphorylation'],Oxidative Phosphorylation,['Oxidative Phosphorylation'],Oxidative Phosphorylation
