genes	slow-breast	slow-breast.1	slow-breast.2	slow-breast.3	slow-breast.4	slow-breast.5	slow-breast.6	slow-breast.7	slow-breast.8	slow-breast.9	slow-breast.10	slow-breast.11
ZSWIM7	2.67545044701736	2.52155840900744	3.64892987566124	3.22962588434395	1.83076789638923	1.22287843144337	4.08199321728824	2.59388382363845	1.96530370082998	2.78343100667727	2.05218172826245	2.42801942996233
PTGES	6.6886261175434	6.80820770432009	16.724261930114	23.5301314430773	11.5076839201609	7.74489673247469	12.5599791301177	5.96593279436843	5.44237947922149	3.52567927512454	12.3130903695747	6.47471847989954
NDUFS5	762.837808705825	684.35095220462	358.203282794078	606.477603567159	642.076455090794	631.00527062478	853.450581891495	496.988140609126	592.614654404118	336.980713875062	440.192980712296	383.46520197205
DQX1	24.7479166349106	19.1638439084566	26.1506641089055	31.3735085907698	28.5076715294894	32.2024653613421	16.0139733909	33.2017129425721	28.8748466814251	33.9578582814627	25.6522716032807	40.4669904993721
PRSS12	0	0	0.304077489638436	0	0	0.815252287628914	0	0	0.151177207756153	0	0	0
MAPK4	117.719819668764	197.438023425283	54.4298706452801	46.1375126334849	165.553725487769	56.2524078463951	103.305828345218	125.025200299373	82.3915782271031	120.244219488458	46.1740888859052	59.5674100150758
ADGRA2	1.67215652938585	0.504311681801488	0	0.230687563167425	0.261538270912747	0	2.19799634777059	0	0	0	0	0.161867961997489
SIPA1L2	12.7083896233325	12.3556362041365	19.4609593368599	17.3015672375568	11.5076839201609	8.96777516391806	13.5019775648765	11.672477206373	16.4783156454206	16.1438998387282	27.7044533315431	14.7299845417715
KRTCAP3	0	0.504311681801488	0.912232468915309	0.461375126334849	0	0.407626143814457	0.313999478252942	0.518776764727689	0.453531623268458	0.742248268447272	1.02609086413123	0.161867961997489
C11orf58	152.835106785867	133.390439836494	110.988283718029	152.023104127333	167.122955113245	169.980101970629	137.845770953041	160.302020300856	211.043382027589	206.15945656123	145.704902706634	177.731022273242
F7	0	0	1.52038744819218	0.461375126334849	0.261538270912747	0	0.313999478252942	0.518776764727689	0.755886038780763	0	1.02609086413123	1.29494369597991
SP1	27.423367081928	30.7630125898908	44.0912359975733	30.6814459012675	20.9230616730197	30.9795869298987	28.2599530427647	29.3108872071144	46.2602255733827	44.5348961068363	46.1740888859052	61.1860896350507
CRLF1	9.0296452586836	11.851324522335	33.7526013498664	17.5322548007243	17.7846024220668	4.07626143814457	12.8739786083706	7.52226308855149	10.5824045429307	12.24709642938	20.5218172826245	29.9455729695354
SH2B1	101.332685680783	77.1596873156277	75.7152949199707	57.9025783550236	140.446051480145	121.064964712894	160.767732865506	92.8610408862564	152.688979833714	167.37698453486	92.3481777718104	315.966261819098
SCARF1	15.0494087644727	6.55605186341935	18.8528043575831	11.3036905952038	5.49230368916768	11.4135320268048	11.9319801736118	8.55981661800687	8.919455257613	8.72141715425545	18.4696355543621	14.568116579774
RAB3IL1	5.35090089403472	6.05174018161786	4.25708485493811	3.92168857384622	10.7230691074226	2.44575686288674	7.5359874780706	2.3344954412746	2.11648090858614	2.22674480534182	1.02609086413123	2.91362331595479
HS3ST3B1L	0	0	0	0	0	1.63050457525783	0	0	0.755886038780763	0.371124134223636	0	0
ZNF648	12.0395270115781	8.5732985906253	3.95300736529967	6.68993933185531	7.84614812738241	4.89151372577349	9.10598486933531	7.52226308855149	10.2800501274184	5.56686201335454	6.15654518478736	5.50351070791461
IGSF21	4.01317567052604	2.01724672720595	7.29785975132247	7.84337714769244	2.61538270912747	1.22287843144337	1.88399686951765	3.89082573545767	3.62825298614766	3.15455514090091	2.05218172826245	5.01790682192214
LOC112531058	0	0.252155840900744	0	0.230687563167425	0.261538270912747	0	0.313999478252942	0	0	0.556686201335454	0	0.323735923994977
CLCC1	56.8533219991189	64.047583588789	27.3669740674593	46.1375126334849	53.0922689952876	29.7567084984554	40.5059326946295	47.9868507373113	68.1809206980248	60.4932338784527	38.9914528369866	47.5891808272616
VKORC1	13.0428209292096	8.32114274972456	10.3386346477068	13.8412537900455	16.7384493384158	2.03813071907229	16.0139733909	5.18776764727689	9.07063246536915	22.6385721876418	21.5479081467558	14.0825126937815
