genes	fast-liver	fast-liver.1	fast-liver.2	fast-liver.3	fast-liver.4	fast-liver.5	fast-liver.6	fast-liver.7	fast-liver.8	fast-liver.9	fast-liver.10	fast-liver.11
LOC121108591	0	0.840275481890445	1.0258456752557	0	0.706645042801082	0	0	0.755888646072026	0.244634013019308	0.317478019655384	0	0.222227291349488
MIGA2	31.5113588661373	71.9835996152815	50.5228995063434	46.6074171941109	55.1183133384844	42.7673397327374	38.9402952925534	59.4632401576661	40.1199781351665	54.9236974003815	53.6047376505874	65.1125963654
SAMSN1	2.70097361709748	0	0.512922837627852	1.1367662730271	0.706645042801082	0.890986244432029	0.665646073376981	1.51177729214405	0.489268026038616	0	0.500978856547546	1.55559103944642
ALYREF	0.900324539032495	0.56018365459363	1.0258456752557	3.41029881908129	1.41329008560216	0.890986244432029	0.998469110065471	2.01570305619207	1.46780407811585	0.634956039310769	2.00391542619018	1.11113645674744
BTBD17	3.15113588661373	0.56018365459363	0.256461418813926	2.27353254605419	0.353322521400541	0.890986244432029	1.33129214675396	2.51962882024009	3.180242169251	0.952434058966153	0.500978856547546	1.55559103944642
POLG2	9.00324539032495	3.92128558215541	2.82107560695318	3.97868195559484	2.11993512840325	4.00943809994413	13.3129214675396	2.51962882024009	7.09438637755993	3.80973623586461	3.50685199583282	2.66672749619386
SEMA3B	18.0064907806499	22.9675298383388	14.8747622912077	24.4404748700826	7.06645042801082	15.3695127164525	18.305267017867	11.8422554551284	11.4977986119075	19.3661591989784	26.0509005404724	25.1116839224921
RNF122	1.35048680854874	0.840275481890445	1.28230709406963	1.70514940954064	1.41329008560216	0.890986244432029	1.99693822013094	1.00785152809604	1.22317006509654	1.26991207862154	1.00195771309509	2.22227291349488
EEF2KMT	26.5595739014586	22.4073461837452	26.6719875566483	13.0728121398116	24.3792539766373	19.3789508163966	17.63962094449	13.8579585113205	17.8582829504095	18.4137251400123	25.5499216839248	20.6671380955024
MRPS14	59.8715818456609	46.2151515039745	56.1650507202498	46.0390340575974	58.2982160310893	31.852758238445	30.6197193753411	43.3376157081295	58.7121631246339	58.0984775969353	43.5851605196365	29.1117751667829
LOC121106966	0.450162269516247	0	0.512922837627852	0	1.05996756420162	0.222746561108007	0.33282303668849	0.755888646072026	0.733902039057924	1.58739009827692	0	0
LOC101750506	0	0.280091827296815	0	0	0	2.00471904997207	0	0.251962882024009	0	0	2.50489428273773	4.44454582698976
WBP1	0.900324539032495	0.280091827296815	0	0.568383136513548	0.353322521400541	0	0.665646073376981	0.251962882024009	1.46780407811585	0.634956039310769	0	1.11113645674744
FAM167A	0	0.56018365459363	0	0.568383136513548	0	0.668239683324022	0.33282303668849	1.00785152809604	0.978536052077231	0.317478019655384	1.00195771309509	0
FAM8A1	4.05146042564623	4.20137740945222	7.43738114560385	2.84191568256774	6.71312790661028	2.22746561108007	4.99234555032735	3.27551746631211	7.82828841661785	6.0320823734523	1.50293656964264	4.44454582698976
VCPIP1	16.2058417025849	9.2430303007949	6.15507405153422	25.0088580065961	7.06645042801082	21.1609233052607	33.6151267055375	23.4325480282328	26.4204734060853	8.25442851103999	11.5225137005936	25.5561385051911
