genes	fast-leg	fast-leg.1	fast-leg.2	fast-leg.3	fast-leg.4	fast-leg.5	fast-leg.6	fast-leg.7	fast-leg.8	fast-leg.9	fast-leg.10	fast-leg.11
HOXB2	0	0	1.11327872667801	3.13742680360022	2.77713219800489	1.89566728268114	1.95233558740849	0.623805514453118	0	0.69212532417958	1.73836827982331	0
ARMH4	3.91788236482984	2.14488635875308	0.74218581778534	0.261452233633352	0	2.9789057299275	3.25389264568081	4.05473584394527	0.321681980284945	3.11456395880811	4.05619265292106	0.445006050042802
ACOX3	1.30596078827661	2.14488635875308	0.74218581778534	0.784356700900056	1.85142146533659	0.541619223623182	0	11.8523047746092	1.28672792113978	0	0.579456093274437	1.33501815012841
LOC107051690	2.61192157655323	0	0	0.261452233633352	0	0.270809611811591	0.650778529136163	0.623805514453118	0	0.69212532417958	0	0.445006050042802
CPQ	6.52980394138307	2.85984847833745	4.08202199781937	3.39887903723358	5.09140902967563	5.14538262442023	6.50778529136163	2.18331930058591	2.57345584227956	2.07637597253874	2.89728046637219	8.45511495081324
OTUD6A	135.819921980768	109.389204296407	72.3631172340707	89.9395683698731	132.376634771566	84.4925988852164	143.171276409956	87.9565775378897	92.0010463614943	87.8999161708067	103.14318460285	134.391827112926
GAB1	16.977490247596	22.8787878266996	89.8044839520262	78.6971223236389	52.5340840789258	31.6847245819562	13.0155705827233	32.7497895087887	74.3085374458223	23.5322610221057	32.4495412233685	29.8154053528677
HP1BP3	21.5483530065641	19.3039772287778	20.0390170802042	46.5384975867367	22.6799129503733	10.5615748606521	26.6819196945827	18.402262676367	31.8465160482096	16.6110077803099	24.9166120108008	40.9405566039378
SKA2P1	0.652980394138307	2.85984847833745	5.19530072449738	4.96759243903369	6.47997512867807	2.9789057299275	7.15856382049779	4.05473584394527	4.50354772398923	5.53700259343664	9.271297492391	4.00505445038522
DCAF12L2	13.7125882769044	6.43465907625925	19.2968312624188	15.6871340180011	18.745642336533	7.58266913072455	25.3803626363103	9.35708271679677	15.7624170339623	10.7279425247835	9.271297492391	9.34512705089884
NDUFS1	139.737804345598	77.215908915111	94.6286917676309	123.144002041309	356.861487443628	142.98747503652	195.884337269985	174.665544046873	184.323774703274	399.702374713708	153.555864717726	141.956929963654
BICC1	3.26490197069153	2.85984847833745	18.5546454446335	9.15082817716732	15.9685101385281	8.66590757797092	0.650778529136163	2.49522205781247	11.580551290258	8.99762921433454	2.31782437309775	4.00505445038522
SBSPONL	1.95894118241492	1.42992423916872	0.37109290889267	0.261452233633352	0.462855366334148	0.270809611811591	1.95233558740849	0.623805514453118	0.321681980284945	0	6.95347311929325	1.33501815012841
UBALD1	43.0967060131282	54.3371210884115	7.4218581778534	20.1318219897681	11.8028118415208	10.2907652488405	39.0467117481698	21.5212902486326	6.75532158598385	17.3031331044895	35.9262777830151	35.6004840034241
TTI2	5.87682354724476	2.14488635875308	8.90622981342408	12.8111594480342	10.6456734256854	5.41619223623182	5.85700676222546	3.43093032949215	8.68541346769352	4.15275194507748	8.11238530584212	8.01010890077043
OST4	4.57086275896815	0.714962119584362	0	1.04580893453341	0	0	1.30155705827233	0	0	0	0.579456093274437	0.445006050042802
TWISTNB	4.57086275896815	6.43465907625925	8.53513690453141	21.7005353915682	5.09140902967563	8.66590757797092	9.11089940790628	15.2832351041014	17.0491449551021	7.61337856597538	6.95347311929325	12.9051754512413
TRA2A	99.9060003031609	109.389204296407	77.1873250496754	56.7351346984374	95.8110608311687	116.448133078984	114.537021127965	151.272837254881	63.0496681358492	110.047926544553	92.1335188306356	72.9809922070195
LOC101751884	0	2.14488635875308	2.22655745335602	1.04580893453341	2.08284914850367	2.9789057299275	0	0.935708271679677	1.60840990142473	0.69212532417958	4.05619265292106	0
LLPH	251.397451743248	206.62405255988	303.925092383097	173.604283132546	188.613561781165	386.716125666952	247.946619600878	318.764617885543	206.19814936265	284.463508237808	180.790301101624	191.797607568448
RPUSD1	0	2.14488635875308	3.33983618003403	2.35307010270017	0.694283049501222	2.16647689449273	3.90467117481698	0.935708271679677	1.28672792113978	1.73031331044895	0	1.33501815012841
GNAI2	147.573569075257	136.557764840613	93.1443201320602	58.8267525675042	137.930899167576	212.585545272099	166.599303458858	156.575184127733	73.0218095246825	201.062406674168	122.844691774181	87.666191858432
LOC121107170	4.57086275896815	17.874052989609	4.45311490671204	1.30726116816676	11.8028118415208	7.85347874253614	1.95233558740849	2.80712481503903	2.57345584227956	1.73031331044895	6.95347311929325	1.78002420017121
PIM1	7.18278433552137	9.2945075545967	4.82420781560471	2.09161786906682	6.47997512867807	11.1031940842752	14.3171276409956	34.6212060521481	6.11195762541396	8.65156655224476	6.95347311929325	10.6801452010272
ADGRF5	4.57086275896815	7.14962119584361	20.0390170802042	8.36647147626726	22.6799129503733	15.7069574850723	3.25389264568081	2.80712481503903	10.6155053494032	6.57519057970601	6.37401702601881	7.56510285072763
TMEM116	3.26490197069153	5.00473483709053	10.0195085401021	6.5363058408338	6.01711976234392	8.12428835434774	3.90467117481698	8.10947168789054	11.2588693099731	7.95944122806517	7.53292921256769	6.23008470059923
SEMA6B	10.4476863062129	5.00473483709053	9.27732272231675	15.1642295507344	14.5799440395257	6.2286210716666	9.76167793704244	6.8618606589843	17.692508915672	10.7279425247835	8.11238530584212	18.2452480517549
LOC121106534	3.26490197069153	1.42992423916872	1.48437163557068	4.18323573813363	3.23998756433904	1.62485767086955	5.85700676222546	0	2.89513782256451	1.03818798626937	1.73836827982331	1.78002420017121
EPN2	29.3841177362238	32.1732953812963	20.7812028979895	42.8781663158697	19.4399253860342	17.6026247677534	30.5865908693996	25.2641233353513	30.8814701073547	13.8425064835916	26.0755241973497	28.9253932527821
CADM1	73.7867845376286	58.6268938059176	15.9569950823848	27.1910322978686	23.8370513662086	34.9344399236953	68.9825240884332	51.1520521851557	27.3429683242203	49.8330233409298	33.0289973166429	40.495550553895
FAM159A	0.652980394138307	0.714962119584362	0.37109290889267	1.04580893453341	0.925710732668296	1.35404805905796	0	1.5595137861328	0.64336396056989	0.34606266208979	1.73836827982331	0
LOC121111692	1.30596078827661	2.85984847833745	0	0.522904467266704	3.47141524750611	0.541619223623182	3.25389264568081	0.935708271679677	1.28672792113978	0.34606266208979	2.89728046637219	0.445006050042802
PNPO	160.633176958023	250.951703974111	34.5116405270183	44.9697841849365	22.4484852672062	44.412776337101	120.39402789019	201.489181168357	113.875421020871	149.1530073607	143.70511113206	158.86715986528
CHPF2	4.57086275896815	14.2992423916872	14.4726234468141	8.36647147626726	10.1828180593513	17.3318151559418	12.3647920535871	17.1546516474607	9.00709544797846	12.1121931731427	9.85075358566544	9.34512705089884
PNPLA6	10.4476863062129	10.7244317937654	21.8944816246675	13.0726116816676	16.8942208711964	10.8323844724636	12.3647920535871	11.5404020173827	15.7624170339623	22.8401356979262	9.271297492391	6.23008470059923
ZNF830	4.57086275896815	4.28977271750617	21.8944816246675	5.49049690630039	5.09140902967563	2.70809611811591	4.55544970395314	7.17376341621086	22.8394206002311	4.49881460716727	8.11238530584212	8.45511495081324
HYKK	9.14172551793629	6.43465907625925	8.16404399563874	6.79775807446715	4.85998134650855	6.49943068347819	2.60311411654465	7.17376341621086	6.4336396056989	5.88306525552643	4.6356487461955	10.6801452010272
FASLG	0.652980394138307	0.714962119584362	0.74218581778534	1.30726116816676	2.08284914850367	0.812428835434774	8.46012087877011	1.87141654335935	0	1.73031331044895	0.579456093274437	0.890012100085604
LNPK	13.0596078827661	24.3087120658683	9.64841563120942	24.3150577279017	15.505654772194	2.70809611811591	8.46012087877011	10.2927909884764	14.1540071325376	8.65156655224476	13.3274901453121	25.3653448524397
HDAC8	6.52980394138307	5.00473483709053	17.8124596268482	15.9485862516345	22.6799129503733	1.62485767086955	4.55544970395314	5.61424963007806	15.1190530733924	5.88306525552643	2.31782437309775	10.2351391509844
TRAT1	0.652980394138307	8.57954543501234	0.74218581778534	0.261452233633352	1.61999378216952	0.812428835434774	0	0.623805514453118	0.64336396056989	0	1.15891218654887	0
SF3A3	28.7311373420855	32.1732953812963	49.3553568827251	37.910573876836	49.5255241977538	39.2673937126807	37.0943761607613	49.2806356417963	45.0354772398923	42.911770099134	45.7770313686806	34.7104719033385
FKBP9	1.30596078827661	1.42992423916872	0	1.04580893453341	0	0.270809611811591	0.650778529136163	1.5595137861328	0	0	0	0.445006050042802
MAP1LC3B	353.262393228824	436.841855066045	244.55022696027	238.967341540884	199.490662890018	360.989212544851	334.500163975988	449.763775920698	172.743223413015	406.623627955503	387.656126400599	347.549725083428
GOLGA4	54.8503531076177	65.0615528821769	61.9725157850759	40.7865484468029	58.3197761581027	83.9509796615933	51.4115038017569	61.4448431736321	33.7766079299192	57.792464568995	69.5347311929325	53.4007260051362
