genes	fast-breast	fast-breast.1	fast-breast.2	fast-breast.3	fast-breast.4	fast-breast.5	fast-breast.6	fast-breast.7	fast-breast.8	fast-breast.9	fast-breast.10	fast-breast.11
SLC6A8	18.7549139988717	2.13970103554629	0.863232671659527	3.411679388842	4.96436368199755	17.3547869725147	8.310069227643	7.46815797848703	4.58071484844901	1.63736454188195	2.91352195176088	6.0300689173442
CISD2	29.3826985982324	47.9904375115382	69.0586137327622	25.4325190804586	55.2285459622228	22.3472599372107	61.9477887878842	32.6731911558808	43.9748625451105	65.2899111075429	59.7272000110981	34.4575366705383
ROCK2	25.631715798458	40.0429765223663	32.802841523062	46.5229007569364	35.6813639643574	28.5284169411201	21.9083643274225	45.7424676182331	29.0111940401771	42.5714780889308	27.9698107369045	18.9516451687961
C3H8ORF80	1.25032759992478	0	0	0.930458015138728	1.86163638074908	0.475473615685335	0.755460838876636	0	0.916142969689802	0.204670567735244	0	0.861438416763457
GRIA1	0	1.52835788253306	0.575488447773018	1.55076335856455	0.930818190374541	0	0.377730419438318	2.3337993682772	1.2215239595864	0.614011703205733	0.291352195176088	2.58431525029037
BTN3A3L1	1.87549139988717	0.305671576506613	0.287744223886509	1.55076335856455	0.930818190374541	0.713210423528002	1.51092167775327	1.86703949462176	1.8322859393796	0	1.74811317105653	2.58431525029037
TMTC1	0.625163799962391	0	0	0	0	0	0	0	4.88609583834561	0.409341135470489	6.40974829387394	0
LOC121107336	1.87549139988717	1.52835788253306	1.43872111943254	1.24061068685164	0.930818190374541	1.426420847056	0.377730419438318	0.933519747310879	0.305380989896601	0.409341135470489	1.45676097588044	0.861438416763457
RABL2A	0.625163799962391	2.75104418855951	3.45293068663811	1.55076335856455	4.65409095187271	4.27926254116801	0.377730419438318	0.933519747310879	2.74842890906941	5.93544646432209	2.03946536623262	2.58431525029037
CAAP1	18.7549139988717	29.3444713446348	26.7602128214453	31.0152671712909	37.2327276149816	34.7095739450294	23.797016424614	21.9377140618057	30.8434799795567	22.1044213154064	17.7724839057414	19.3823643771778
PRX	1.25032759992478	0.611343153013225	0.287744223886509	0.620305343425819	0	0	0	0	0.305380989896601	0.204670567735244	0.291352195176088	0
SLC2A2	1.25032759992478	0.611343153013225	0.575488447773018	0.310152671712909	0.310272730124847	1.66415765489867	3.39957377494486	4.20083886289896	2.74842890906941	0.409341135470489	0.582704390352177	3.0150344586721
MREG	1.25032759992478	1.83402945903968	0	1.86091603027746	0.620545460249694	1.18868403921334	0.377730419438318	0	0.610761979793201	0.614011703205733	0.291352195176088	0.430719208381729
C12orf43	0	3.36238734157274	0.287744223886509	1.86091603027746	0.930818190374541	0.95094723137067	1.51092167775327	2.80055924193264	0.916142969689802	1.43269397414671	2.03946536623262	4.30719208381729
LOC107053277	0	0	0.575488447773018	0.310152671712909	0	0.475473615685335	0	8.86843759945335	0	0.204670567735244	0	0.861438416763457
MAZ	3.12581899981195	5.50208837711903	2.01420956720556	3.10152671712909	4.34381822174786	3.09057850195468	4.1550346138215	3.26731911558808	1.526904949483	2.45604681282293	3.20487414693697	1.72287683352691
BAZ1B	19.3800777988341	26.5934271560753	35.6802837619271	17.05839694421	31.0272730124847	26.1510488626934	37.3953115243935	30.806151661259	29.3165750300737	30.9052557280219	23.5995278092632	21.5359604190864
RITA1	3.12581899981195	2.13970103554629	0.575488447773018	2.17106870199037	0.930818190374541	1.90189446274134	1.13319125831495	0	1.2215239595864	1.63736454188195	0.291352195176088	1.29215762514519
TENM4	5.62647419966152	2.4453726120529	2.87744223886509	2.79137404541618	3.72327276149817	5.94342019606669	9.06553006651964	5.13435861020984	7.32914375751842	4.50275249017538	2.62216975658479	7.75294575087111
COPS3	23.1310605986085	56.5492416537233	122.579039375653	70.4046564788304	117.283091987192	22.8227335528961	48.3494936881047	32.6731911558808	44.8910055148003	140.199338898642	98.7683941646939	44.7947976716998
INO80C	24.3813881985332	22.3140250849827	24.1705148064668	13.0264122119422	25.7526366003623	14.5019452784027	18.5087905524776	13.0692764623523	15.8798114746232	26.811844373317	23.3081756140871	18.5209259604143
BCS1L	6.25163799962391	14.6722356723174	16.401420761531	9.30458015138728	13.6520001254933	7.13210423528002	14.3537559386561	11.668996841386	12.5206205857606	11.2568812254384	11.0713834166914	6.0300689173442
LOC107051833	0.625163799962391	4.8907452241058	6.61811714938971	3.411679388842	1.86163638074908	2.61510488626934	1.88865209719159	4.6675987365544	0.610761979793201	2.66071738055818	1.45676097588044	3.44575366705383
POC1A	1.87549139988717	2.75104418855951	3.45293068663811	2.79137404541618	2.79245457112362	4.99247296469602	1.13319125831495	0.46675987365544	2.1376669292762	3.47939965149915	0.582704390352177	2.15359604190864
TIRAP	8.75229319947347	13.7552209427976	18.4156303287366	11.7858015250906	11.1698182844945	17.3547869725147	7.17687796932805	14.4695560833186	9.16142969689802	9.21017554808599	8.74056585528265	18.5209259604143
LYPLA2	81.2712939951108	36.0692460277803	36.2557722097001	23.881755721894	28.8553639016108	70.8455687371149	67.2360146600206	62.5458230698289	64.7407698580793	39.5014195729022	43.7028292764132	49.5327089638988
RPAP3	12.5032759992478	13.1438777897843	23.0195379109207	19.2294656462004	17.0650001568666	15.6906293176161	21.5306339079841	11.2022369677305	17.1013354342096	17.3969982574958	20.3946536623262	9.90654179277976
COL17A1	0	0	0	0	0	0.237736807842667	0	0	0	0.818682270940977	0	0.861438416763457
YAF2	10.0026207993983	27.8161134621018	33.6660741947216	29.4645038127264	32.8889093932338	24.7246280156374	18.5087905524776	17.7368751989067	16.4905734544164	23.1277741540826	25.9303453706719	15.936610710124
LOC776146	0	0.611343153013225	0	0	0.620545460249694	0	1.51092167775327	0	0.305380989896601	0	0	0
AAR2	1.25032759992478	1.83402945903968	2.01420956720556	3.411679388842	3.41300003137332	11.1736299686054	0.755460838876636	0.933519747310879	1.2215239595864	10.4381989544975	2.91352195176088	1.29215762514519
NAA16	13.7536035991726	81.6143109272656	53.5204256428907	50.8650381609171	88.7380008157063	26.3887856705361	37.3953115243935	16.8033554515958	36.9510997774887	85.9616384488026	56.230973668985	25.8431525029037
TCEB3	18.7549139988717	24.7593976970356	43.1616335829763	34.4269465601329	38.1635458053562	32.3322058666028	21.9083643274225	22.8712338091165	23.8197172119348	46.2555483081652	31.1746848838414	21.5359604190864
LOC107049488	1.25032759992478	1.22268630602645	0.863232671659527	2.79137404541618	1.55136365062424	10.4604195450774	1.88865209719159	3.73407898924352	2.74842890906941	0.614011703205733	2.33081756140871	2.58431525029037
LOC112530663	0	0	0	0	0.310272730124847	7.84531465880803	0	0	0.305380989896601	0.204670567735244	0	3.0150344586721
NDUFA7	212.555691987213	298.946801823467	313.928948260181	118.478320594331	276.142729811114	153.102504250678	411.348426768329	190.904788325075	210.712883028654	178.063393929663	271.540245904114	337.253140162893
GRPR	0	0.611343153013225	0	0.310152671712909	0	0	0.755460838876636	0	0.305380989896601	0	0	0
