genes	slow-brain	slow-brain.1	slow-brain.2	slow-brain.3	slow-brain.4	slow-brain.5	slow-brain.6	slow-brain.7	slow-brain.8	slow-brain.9	slow-brain.10	slow-brain.11
PTAFR	3.85241304870295	5.83362852339571	1.57707458519979	0.446939639720084	1.27879286108225	3.11764946148926	2.01787817387364	2.3294130917667	1.43558133152817	0.844212370339333	1.62856054210125	0.934660640497369
CNTN5	15.4096521948118	22.5298756765627	33.7099692586455	21.6765725264241	30.1795115215412	26.1882554765098	10.5938604128366	18.6353047341336	18.6625573098663	19.1354803943582	15.8784652854872	31.5447966167862
CHRNB3	0	0	0	0	0	0	1.00893908693682	0	1.07668599864613	0.562808246892889	0	0
LOC107054964	2.75172360621639	1.81043643829522	1.97134323149974	3.35204729790063	1.79031000551516	1.37176576305527	14.1251472171155	1.48235378566972	0.717790665764087	2.532637111018	10.1785033881328	5.84162900310855
CAMK2G	120.708942192692	80.0615224934998	90.6817886489878	115.086957227922	88.7482245591085	82.1812398048569	85.7598223896296	96.3529960685316	87.2115658903366	83.0142164167011	100.156473339227	126.412851627269
CELF1	41.2758540932459	35.4040903488843	25.2331933631966	44.9174337918684	34.015890104788	35.7906158178967	63.5631624770196	42.5647301313733	58.1410439268911	46.4316803686633	46.0068353143604	23.8338463326829
ADORA2B	10.6399979440367	17.0985663616771	2.36561187779968	6.25715495608117	4.09213715546321	3.49176739686797	2.01787817387364	15.8823619893184	12.2024413179895	2.81404123446444	2.84998094867719	4.4396380423625
POLR3E	10.2731014632079	12.0695762553015	8.08250724914892	6.25715495608117	5.62668858876192	8.35530055679122	4.03575634774727	10.8000061527365	11.1257553193433	5.90948659237533	8.14280271050626	7.24361996385461
MRI1	27.5172360621639	27.1565465744283	33.1185662891956	21.0061630668439	26.087374366078	26.8117853688076	25.2234771734205	18.6353047341336	18.3036619769842	32.3614741963411	22.3927074538922	16.5902263688283
F2R	11.0068944248656	7.84522456594596	9.6595818343487	6.9275644156613	10.7418600330909	10.2258902336848	14.6296167605839	8.8941227140183	6.46011599187678	8.16071957994689	7.73566257498095	9.58027156509803
PRLH	2.38482712538754	3.01739406382537	1.77420890834976	2.45816801846046	1.53455143329871	3.99059131070625	6.55810406508932	7.41176892834859	7.17790665764087	2.532637111018	2.84998094867719	2.33665160124342
XPR1	6.60413665491934	6.43710733616078	5.51976104819926	3.57551711776067	7.16124002206062	4.86353315992325	3.02681726081046	6.35294479572736	6.10122065899474	5.90948659237533	4.07140135525313	5.37429868285987
NEURL1B	11.5572391461088	14.4834915063618	26.0217306557965	8.26838333482155	13.5552043274719	11.4729500182805	13.6206776736471	18.4235399076093	31.9416846265019	17.1656515302331	13.8427646078606	15.1882354080822
LOC107052855	8.07172257823475	5.23014971063064	8.08250724914892	7.59797387524142	11.5091357497403	6.60941685835723	7.56704315202614	11.0117709792608	7.53680199052291	5.90948659237533	6.10710203287969	8.17828060435198
LOC107053302	0	0	0	0	0	0	1.51340863040523	0	0.358895332882044	0	0	0
LOC121107900	0.183448240414426	0	0	0	0	0	0.504469543468409	0	2.5122673301743	0.281404123446444	0	0
CXCL12	41.0924058528314	47.2725069999308	34.8927751975453	41.7888563138278	29.9237529493248	34.6682620117606	77.688309694135	39.3882577335096	49.16866060484	75.4163050836471	53.7424978893413	34.115113378154
SVBP	318.649593599858	336.338858314401	369.232587259901	429.508993771001	435.045331340183	333.463786400891	356.659967232165	392.188458722902	398.73271483195	363.574127492806	435.639945012085	391.856473528522
AK6	29.718614947137	36.0075691616494	32.9214319660456	33.9674126187264	32.4813386714893	33.1717902702457	42.8799111948148	34.3059018969277	30.8649986278557	29.2660288384302	26.8712489446707	33.4141178977809
PRPSAP2	37.6068892849573	38.6226440169647	50.2692524032433	42.459265773408	53.1977830210218	42.4000326762539	55.491649781525	49.1294397536249	57.782148594009	39.9593855293951	88.7565495445182	46.0320365444954
TXLNA	31.3696491108669	29.3693022212336	34.8927751975453	20.3357536072638	26.087374366078	39.2823832147647	27.7458248907625	33.670607417355	32.3005799593839	32.6428783197876	18.7284462341644	18.2258824896987
LOC121110294	1.28413768290098	0	0	0	0	0	2.01787817387364	0	0.717790665764087	0	0.407140135525313	0
INPPL1	1.83448240414426	1.20695762553015	0	0.223469819860042	1.27879286108225	1.12235380613613	2.01787817387364	0	1.79447666441022	2.25123298757156	2.03570067762656	1.16832580062171
LOC121107386	2.56827536580197	4.22435168935551	5.51976104819926	4.46939639720084	2.55758572216451	3.86588533224668	5.04469543468409	3.38823722438793	1.79447666441022	3.65825360480378	2.84998094867719	6.77628964360592
ALDH8A1	0.183448240414426	0.201159604255025	0.394268646299947	0	0	0.374117935378711	0	0.423529653048491	0.358895332882044	0.281404123446444	1.62856054210125	0.700995480373027
BNIP3	55.2179203647422	55.5200507743868	25.4303276863466	35.5317013577467	31.9698215270564	35.9153217963563	22.7011294560784	61.8353293450796	39.1195912841427	39.1151731590558	31.7569305709744	32.7131224174079
ENPP4	26.0496501388485	36.8122075786695	19.9105666381473	13.6316590114626	18.4146171995845	26.4376674334289	26.2324162603573	25.8353088359579	19.3803479756304	18.0098639005724	24.8355482670441	20.5625340909421
ORC5	4.58620601036065	3.41971327233542	5.32262672504929	5.58674549650105	5.88244716097837	6.85882881527637	2.01787817387364	3.17647239786368	5.7423253261127	6.47229483926822	2.44284081315188	3.73864256198947
