genes	fast-brain	fast-brain.1	fast-brain.2	fast-brain.3	fast-brain.4	fast-brain.5	fast-brain.6	fast-brain.7	fast-brain.8	fast-brain.9	fast-brain.10	fast-brain.11
SMURF1	138.574433738683	139.750098423272	158.699130953433	95.4089235020482	137.871832217443	100.432823556231	162.03386869355	64.5803286237684	127.079986958615	50.2766329271305	160.855448477914	205.952035259685
LOC121108900	0	0	0	1.20011224530878	0.610052354944438	0	0.538318500643022	0	0.333543272857257	13.9657313686474	0	0.245766151861199
LOC121106941	26.9076570366375	14.163861326683	22.4014079407057	25.5023852128116	19.8267015356942	30.6485142307747	32.2991100385813	23.4837558631885	21.6803127357217	21.414121431926	20.9112083021289	22.8562521230915
ARRDC3	23.7684303823632	9.67863857323335	5.66782610547976	27.3025535807748	8.23570679174991	53.2812632011929	87.7459156048126	64.5803286237684	37.0233032871556	47.793836239371	40.2138621194786	4.66955688536279
RGS22	8.52075806160189	16.9966335920195	2.15917184970658	2.70025255194476	2.44020941977775	2.3575780177519	4.30654800514418	0.533721724163375	3.66897600142983	7.4483900632786	2.14473931303886	4.42379073350159
EIF4E3	44.8460950610626	42.7276483354936	24.0207868279857	39.903732156517	25.0121465527219	44.7939823372861	111.431929633106	59.776833106298	36.356216741441	38.1729990743028	54.1546676542312	32.9326643494007
VPS41	35.87687604885	55.9472522403977	75.3011182585169	38.7036199112082	60.7002093169715	35.3636702662785	24.224332528936	22.9500341390251	56.0352698400192	35.0695032146034	33.779644180362	49.8905288278235
PSAP	724.26443523616	1761.04009161758	1562.70062622514	807.075484970156	1660.86753633623	496.50593053855	799.941291955531	600.97066140796	1219.43420556613	793.563891325141	882.56022731549	1740.51588748101
RALA	58.748384529992	39.1866830038228	28.6090270086121	31.5029464393555	34.4679580543607	40.0788263017823	73.749634588094	51.237285519684	44.3612552900152	38.7936982462427	32.7072745238426	31.9495997419559
LOC121107294	0.896921901221251	0	0.269896481213322	1.80016836796317	0.305026177472219	1.88606241420152	0	5.87093896579713	0	0	0	0
LOC769852	29.5984227403013	164.300791389522	59.3772258669309	17.4016275569773	95.4731935488045	12.2594056923099	23.1476955276499	14.4104865524111	161.434944062913	18.0002759862566	20.9112083021289	58.4923441429655
SPIA1	1.34538285183188	10.8589603504569	4.31834369941315	2.40022449061756	3.05026177472219	1.41454681065114	2.69159250321511	4.269773793307	6.00377891143063	3.41384544566936	1.07236965651943	2.94919382233439
LOC121113297	0.896921901221251	0	0	5.40050510388952	0	2.3575780177519	1.61495550192907	1.06744344832675	2.00125963714354	3.41384544566936	2.14473931303886	2.21189536675079
LOC124417862	6.27845330854876	0	0.269896481213322	1.50014030663598	0	5.65818724260456	2.69159250321511	0.533721724163375	2.00125963714354	0	3.753293797818	0.245766151861199
LOC107051755	7.17537520977001	4.24915839800489	1.34948240606661	9.30086990114306	0.610052354944438	10.8448588816587	2.69159250321511	17.079095173228	22.6809425542935	21.103771845956	4.82566345433743	1.4745969111672
STK32C	11.2115237652656	0.236064355444716	3.77855073698651	5.10047704256232	6.40554972691659	8.48728086390684	4.30654800514418	9.60699103494075	1.33417309142903	11.4829346808878	6.97040276737629	5.65262149280759
IFFO2	13.9022894689294	9.44257421778863	23.480993865559	12.301150514415	21.0468062455831	10.8448588816587	19.9177845237918	7.47210413828725	10.0062981857177	13.0346826107375	16.0855448477914	18.9239936933124
RCAN3	49.3307045671688	55.4751235295082	57.2180540172243	42.6039847084618	51.2443978153328	43.379435526635	52.7552130630161	51.7710072438474	47.0296014728733	58.345722162349	48.2566345433743	47.9243996129339
CWC27	9.41767996282314	22.6621781226927	8.90658388003963	18.9017678636133	12.506073276361	8.48728086390684	6.99814050835928	11.2081562074309	19.0119665528637	12.4139834387977	10.7236965651943	10.8137106818928
LOC107051958	8.96921901221251	0.236064355444716	0.809689443639966	1.80016836796317	0.305026177472219	0.47151560355038	0	0	0	0.620699171939883	0	0
IP6K3	2.69076570366375	7.79012372967562	2.96886129334654	6.9006454105255	1.22010470988888	10.3733432781084	1.61495550192907	14.9442082765745	22.3473992814362	12.4139834387977	7.506587595636	3.68649227791799
DAZAP2	476.713990499095	183.185939825099	202.422360909992	553.851801210003	148.852774606443	396.073106982319	475.873554568431	483.551882092018	226.475882270078	537.835832485909	587.122386944387	181.129653921704
RAB10L	11.6599847158763	12.2753464831252	12.9550310982395	8.70081377848867	10.9809423889999	15.5600149171625	20.9944215250779	12.809321379921	13.008187641433	13.0346826107375	14.4769903630123	15.4832675672556
CILP2	0	0	1.88927536849325	1.80016836796317	0	0	0	2.1348868966535	0	5.89664213342889	0	3.93225842977919
PTGES3	103.594479591055	133.376360826264	229.412009031324	81.6076326809972	332.173507267246	101.847370366882	104.972107625389	91.2664148319372	159.100141152912	87.5185832435235	100.266562884567	297.377043752051
CHST7	8.07229711099126	6.37373759700733	9.98616980489292	3.30030867459915	6.71057590438881	3.30060922485266	9.15141451093137	2.1348868966535	7.0044087300024	6.20699171939883	4.28947862607771	6.88145225211358
ZNF346	59.1968454806026	42.2555196246041	86.9066669506897	62.1058086947295	40.8735077812773	31.5915454378755	32.2991100385813	26.6860862081688	35.3555869228693	35.0695032146034	71.8487669868017	42.5175442719875
DNAJC13	24.6653522835844	38.4784899374887	26.7197516401189	31.2029183780283	26.537277440083	21.6897177633175	42.5271615507987	25.618642759842	25.6828320100088	26.690064393415	25.7368717564663	35.1445597161515
RHOG	56.5060797769388	45.0882918899407	45.3426088438381	101.409484728592	40.2634554263329	52.3382319940922	84.5160046009544	55.507059312991	29.3518080114386	49.9662833411606	79.3553545824377	47.1871011573503
MRPL51	26.9076570366375	116.1436628788	80.9689443639966	14.4013469437054	118.350156859221	18.3891085384648	24.762651029579	26.1523644840054	62.0390487514499	16.7588776423768	10.1875117369346	111.577832944985
HSF3	14.35075041954	36.1178463830415	18.6228572037192	19.2017959249405	22.266910955472	17.9175929349144	31.2224730372953	22.9500341390251	30.0188945571532	22.6555197758057	13.9408055347526	38.5852858422083
CKS1B	56.5060797769388	74.3602719650855	46.9619877311181	60.6056683880935	65.8856543339993	67.4267313077043	77.5178640925952	65.1140503479318	58.0365294771628	54.0008279587698	59.5165159368283	64.8822640913566
KCNQ5	8.96921901221251	11.3310890613464	13.2249275794528	3.30030867459915	16.1663874060276	5.65818724260456	1.61495550192907	8.00582586245063	1.00062981857177	7.13804047730866	4.28947862607771	18.6782275414512
SLC39A9	45.2945560116732	38.4784899374887	33.1972671892386	17.7016556183045	37.2131936516107	37.24973268048	30.6841545366523	26.1523644840054	26.3499185557233	26.690064393415	29.4901655542843	25.0681474898423
EVA1B	4.48460950610626	4.95735146433903	4.31834369941315	5.70053316521672	2.74523559724997	4.24364043195342	5.92150350707324	4.80349551747038	13.3417309142903	7.13804047730866	8.57895725215543	4.17802458164039
MAK	2.24230475305313	2.83277226533659	2.96886129334654	3.00028061327196	3.35528795219441	1.41454681065114	1.07663700128604	0	2.00125963714354	0.931048757909825	0	2.45766151861199
PDGFC	12.5569066170975	4.72128710889432	2.96886129334654	8.70081377848867	4.57539266208328	4.7151560355038	6.45982200771626	6.93838241412388	15.0094472785766	11.7932842668578	7.506587595636	7.61875070769718
PRRT1B	1.7938438024425	2.36064355444716	0.809689443639966	3.00028061327196	0	4.7151560355038	2.69159250321511	3.73605206914363	13.3417309142903	2.79314627372947	2.14473931303886	0.491532303722399
BBIP1	11.2115237652656	97.7306431541124	46.6920912499047	14.7013750050326	97.9134029685822	17.9175929349144	23.1476955276499	10.1407127591041	58.0365294771628	13.0346826107375	13.9408055347526	78.6451685955838
TEX2L	17.0415161232038	7.79012372967562	10.7958592485329	12.9012066370694	13.7261779862498	16.9745617278137	11.8430070141465	10.1407127591041	12.6746443685758	12.4139834387977	26.8092414129857	6.63568610025238
LOC121108603	0.896921901221251	46.7407423780537	1.34948240606661	3.90036479725354	1.52513088736109	2.82909362130228	4.30654800514418	3.20233034498025	31.6866109214394	1.24139834387977	1.07236965651943	2.70342767047319
MAN1A1	5.82999235793813	1.88851484355773	5.39792962426644	18.0016836796317	3.35528795219441	2.82909362130228	0.538318500643022	27.7535296564955	4.6696058200016	8.37943882118842	1.07236965651943	2.21189536675079
GREM1	13.4538285183188	7.08193066334148	6.20761906790641	7.80072959450708	8.54073296922213	5.65818724260456	26.9159250321511	5.33721724163375	10.6733847314322	6.51734130536877	6.97040276737629	11.059476833754
NKAIN4	124.672144269754	101.507672841228	87.7163563943297	95.108895440721	114.994868907026	89.5879646745722	117.891751640822	81.125702072833	97.0610924014619	130.346826107375	157.102154680096	100.272589959369
CCR7	0	1.18032177722358	1.34948240606661	0.300028061327196	1.52513088736109	0.94303120710076	1.07663700128604	0	0.333543272857257	0.620699171939883	0	1.228830759306
LOC107055472	3.587687604885	6.60980195245204	11.6055486921729	6.30058928787111	4.27036648461106	12.7309212958603	3.22991100385813	3.73605206914363	7.67149527571692	9.00013799312831	2.68092414129857	12.7798398967824
SPTAN1	143.955965146011	359.526013342302	333.322154298453	105.609877587173	307.161360714524	128.252244165703	113.046885135035	166.521177938973	528.666087478753	93.4152253769524	163.536372619213	238.393167305363
RIMS2	2.24230475305313	3.06883662078131	5.93772258669309	7.80072959450708	6.10052354944438	9.4303120710076	8.07477750964533	8.539547586614	7.67149527571692	3.7241950316393	17.6940993325706	3.68649227791799
TRIM54	3.587687604885	27.383465231587	8.09689443639966	3.30030867459915	4.27036648461106	6.12970284615494	2.15327400257209	5.87093896579713	18.0113367342919	17.6899264002867	4.82566345433743	5.65262149280759
GPR37	4.48460950610626	10.3868316395675	11.6055486921729	6.9006454105255	4.27036648461106	5.18667163905418	15.6112365186476	3.20233034498025	3.33543272857257	2.48279668775953	4.28947862607771	10.8137106818928
JMY	2.24230475305313	10.8589603504569	13.4948240606661	10.2009540851246	15.8613612285554	16.9745617278137	9.6897330115744	6.4046606899605	15.6765338242911	4.34489420357918	15.013175191272	17.6951629340064
