reaction_id,flux_slow,flux_fast,flux_ratio,DRF_category,Formula,Pathways_list,Pathways,Pathway_Groups_list,Pathway Groups
CYOR_u10m,6.489512566261904,7.082879390431152,1.0914347292050994,Unchanged,2.0 Ferricytochrome c + 2.0 proton + Ubiquinol-10 --> 2.0 Ferrocytochrome C + 4.0 proton + ubiquinone-10,['Oxidative Phosphorylation'],Oxidative Phosphorylation,['Oxidative Phosphorylation'],Oxidative Phosphorylation
CYSGLUexR,-0.0162730184456941,-0.0410884174302291,2.5249413664310842,Increased,L-Cysteine + L-glutamine <==> L-cysteine + L-Glutamine,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
CYTDK1,0.0050531689126694,0.0075169781201392,1.4875770531423342,Increased,ATP + Cytidine --> ADP + CMP + proton,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Pyrimidine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Pyrimidine Metabolism,['Nucleotide metabolism'],Nucleotide metabolism
CYTDe,0.0103217176658803,0.0153543503486083,1.4875770531259522,Increased,Cytidine + Water + proton --> Ammonium + Uridine,['Pyrimidine Catabolism'],Pyrimidine Catabolism,['Nucleotide metabolism'],Nucleotide metabolism
CYTDt,-0.0103217176658803,-0.0153543503486083,1.4875770531259522,Increased,Cytidine <==> Cytidine,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
CYTK1,0.0011590131969695,0.001724121436101,1.4875770531423649,Increased,ATP + CMP <==> ADP + CDP,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Pyrimidine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Pyrimidine Metabolism,['Nucleotide metabolism'],Nucleotide metabolism
CYTK12,-0.0005795065984847,-0.0008620607180505,1.4875770531424932,Increased,dCMP + dCTP <==> 2.0 dCDP,['Nucleotide Interconversion'],Nucleotide Interconversion,['Nucleotide metabolism'],Nucleotide metabolism
CYTK1m,0.0003376435591647,0.0005022708107547,1.4875770531422934,Increased,ATP + CMP <==> ADP + CDP,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Pyrimidine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Pyrimidine Metabolism,['Nucleotide metabolism'],Nucleotide metabolism
ECOAH12m,0.0266656603466716,0.0152883717815933,0.5733355777743412,Decreased,2-Methylprop-2-enoyl-CoA + Water <==> (S)-3-Hydroxyisobutyryl-CoA,"['Valine, Leucine And Isoleucine Biosynthesis', 'Valine, Leucine And Isoleucine Degradation']","Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",['BCAA metabolism (Val/Leu/Iso)'],BCAA metabolism (Val/Leu/Iso)
ECOAH1m,0.0,-0.0091896936763232,1000.0,On,(S)-3-hydroxybutanoyl-CoA(4-) <==> crotonoyl-CoA(4-) + Water,"['Butanoate Metabolism', 'Fatty Acid Degradation', 'Fatty Acid Metabolism', 'Lysine Degradation', 'Tryptophan Metabolism']",Butanoate Metabolism; Fatty Acid Degradation; Fatty Acid Metabolism; Lysine Degradation; Tryptophan Metabolism,"['AA other', 'Lipid metabolism', 'AAA metabolism (Trp/Phe/Tyr)']",AA other; Lipid metabolism; AAA metabolism (Trp/Phe/Tyr)
