Reaction ID,GPR rule (genes),Transcript effect (log2FC),Flux change log2(FG/SG),Adjusted p-value (FDR),Metabolic pathways,Subsystem,Concordant (transcript–flux),Significant reaction (transcript effect & flux ratio)
AKGDm,OGDH and DLD and PDHX and DLST,-0.0856,0.7485,0.9748,2-oxocarboxylic Acid Metabolism; Citric Acid Cycle,2-oxocarboxylic Acid Metabolism; Central Energy Metabolism,False,False
FTHFDHm,ALDH1L2,0.0665,-0.737,0.9102,Folate Metabolism,Folate Metabolism,False,False
GHMT2rm,SHMT1,0.0,-0.737,,"Alanine, Aspartate And Glutamate Metabolism; Biosynthesis Of Amino Acids; Cyanoamino Acid Metabolism; Folate Metabolism; Glycine, Serine And Threonine Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism","AA central (A/D/E,G/S/T); Biosynthesis Of Amino Acids; Cyanoamino Acid Metabolism; Folate Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism",False,False
MTHFCm,MTHFD1L or MTHFD2,0.5499,-0.737,0.3051,Folate Metabolism,Folate Metabolism,False,True
PSERT,PSAT1,0.8412,-0.737,0.0101,"Alanine, Aspartate And Glutamate Metabolism; Biosynthesis Of Amino Acids; Cysteine And Methionine Metabolism; Glycine, Serine And Threonine Metabolism; Methane Metabolism","AA central (A/D/E,G/S/T); Biosynthesis Of Amino Acids; AA other (Cys/Met/Lys/Arg/Pro); Methane Metabolism",False,True
r0509,SDHA and SDHB and SDHC and SDHD,-0.0623,0.696,0.8957,Citric Acid Cycle,Central Energy Metabolism,False,False
GLNtN1,SLC38A3,0.1033,-0.2863,0.8364,Extracellular Transport,Extracellular Transport,False,False
2HCO3_NAt,SLC4A5 or SLC4A4 or SLC4A9,0.0,-0.2009,0.7836,Extracellular Transport,Extracellular Transport,False,False
r1418c,CA13 or CA4 or CA3A or CA3B or CA8 or LOC421187,0.6438,-0.2009,0.6003,Nitrogen Metabolism,Nitrogen disposal,False,False
H2Otm,AQP8,0.0,-0.074,,"Transport, Mitochondrial",Mitochondrial transport,False,False
LDH__L,LDHB and LDHA,-0.0438,0.0566,0.9079,Pyruvate Metabolism,Central Energy Metabolism,False,False
