"Genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PRCC",63.1090897105575,-1.13494737167783,0.295800080395597,-3.83687310077799,0.000124610820764003,0.002646108577319
"SRM",20.9013870708758,1.65256488826737,0.331515216146184,4.98488397449201,6.19990059213943e-07,3.95701262583621e-05
"FCHO2",32.1440254295454,1.00390088877046,0.297315858724727,3.37654672400079,0.000734019038341222,0.00948620948583134
"DNER",12.4339621666695,1.37591800999406,0.403197430923163,3.41251680806535,0.000643659574978317,0.00871187435998242
"MSL1",5.36211790320975,1.74310541228207,0.592057064209863,2.94415102471306,0.00323841930505603,0.0277621694917749
"ZFP91",3.21578305997478,1.82751234221551,0.589286276215345,3.10123010831441,0.00192718465047964,0.0191270291611188
"TRIP4",42.241734219712,-1.43183267154736,0.287338089057248,-4.98309387469366,6.25755726874423e-07,3.95835465885732e-05
"IL17RC",3.88164951610099,2.93454212288692,0.682097127733941,4.30223498028211,1.6908385330328e-05,0.000550736811071036
"RFWD2",38.9142266067863,1.65207262443299,0.31930770438934,5.17392033365591,2.29232594672448e-07,1.65972684058323e-05
"PSAT1",103.05202862762,1.03649657694745,0.196886907349034,5.26442611600366,1.40627938715911e-07,1.08346615091445e-05
"RNH1",360.800395539525,1.1320357608377,0.246706968150223,4.58858446247203,4.4626174447645e-06,0.000192244441106181
"IFNGR2",21.9582498817091,2.18329430208276,0.397168971679476,5.49714216810655,3.85995505401483e-08,3.51460604501548e-06
"DHX36",277.968362526623,1.09382117019132,0.18730846342012,5.83967830507451,5.23017139173612e-09,6.90784944585456e-07
"SLC25A16",6.66376659468057,1.21707970624691,0.392108820274388,3.10393350854804,0.0019096624278379,0.0190474960333475
"LOC112532597",67.5354365434098,2.23361180529509,0.524209342424937,4.26091567724192,2.03591042064086e-05,0.000643937035412697
"LOC107056693",31.947447384558,1.28973675154265,0.315766445423409,4.08446423055893,4.41786308042962e-05,0.00122065049111916
"LOC112532231",435.524684767529,1.90406658318296,0.251998282028212,7.55587128554233,4.16065147366351e-14,3.8466823124586e-11
"MRPL3",51.9685166606232,2.73880782650961,0.361508616524165,7.57605130644663,3.56230978327957e-14,3.5679501071031e-11
"RCAN2",62.6328950854642,1.27516977208488,0.305618394462598,4.17242481208354,3.01375065764751e-05,0.000894377016154702
"SCAF11",75.9240031092321,1.09402448168968,0.2977045780536,3.67486616713266,0.000237974124413105,0.00424072508341056
"PIK3IP1",14.9392774533265,1.86617214902885,0.471621815605079,3.95692499218807,7.59207568685077e-05,0.00182864043447414
"PLPP7",80.8673025131834,-1.2680528810198,0.431569694220353,-2.93823430607328,0.003300874533164,0.0282170775349204
"BAHCC1",48.6314996516199,1.40550031225829,0.285413139955062,4.92444150426844,8.46016308759824e-07,5.04099204408037e-05
"LOC121107484",51.2496638572549,1.45685849439399,0.486256515123151,2.99606987070399,0.0027348376187065,0.0247355234744533
"LOC424918",30.2279833565867,-1.30343220447396,0.267382666641565,-4.87478197762629,1.08928690428696e-06,6.03324391826038e-05
"FLOT2",330.650816322042,1.42029673023371,0.278370453386852,5.10218204896885,3.35759532940617e-07,2.33265539099033e-05
"PRDM11",8.9118491078086,2.82370714744801,0.520042125274301,5.42976618665003,5.64279308482224e-08,4.84433786331989e-06
"SRGAP2",19.2615546034368,1.05722753002738,0.285897413800002,3.69792617560003,0.000217368081815092,0.00395241599899485
"POU3F3",4.33679549500709,3.86209635316313,0.774160354472052,4.98875501806978,6.07696519562078e-07,3.9058312666399e-05
"SNX21",122.412076909405,1.38253483940279,0.346539552059367,3.98954414059478,6.62003995460807e-05,0.00163716584803363
"HEXIM1",92.0502990465322,2.18473463882267,0.342678408872594,6.37546627466378,1.82407128096755e-10,3.59401847966377e-08
"RIOX1",32.6724788380805,1.64829277834045,0.408035443385952,4.03958235750948,5.35464636718141e-05,0.00139907597145986
"EGFLAM",10.895007065141,-1.63685401913863,0.457512902171347,-3.57772209563961,0.000346601677389199,0.00560673695900509
"REV1",291.882215320101,1.54562067520586,0.262938941086718,5.87824940960764,4.1462788224681e-09,5.59933990643191e-07
"LARGE1",120.147704749104,1.52131934214543,0.275844511758318,5.51513362527342,3.48515056040654e-08,3.27250192074423e-06
"DACH1",18.7136592300601,1.08736473606415,0.373983225421164,2.90752275009022,0.00364303844528333,0.0301762088724055
"FOLR3",5.90051617932153,1.24015957944224,0.422611651879626,2.93451345680238,0.00334071067069184,0.02845641499011
"ITGAV",14.7244915604442,1.73957122209215,0.392300961458768,4.43427723353919,9.238168602812e-06,0.000343757115904636
"RFX7",3.1355608936203,3.32854075621774,0.677508002805643,4.91291725327797,8.97311536805157e-07,5.21004220331458e-05
"RGMA",102.183400866738,1.10432001034311,0.329670604981053,3.34976790061879,0.000808793008074165,0.0102432910053144
"ATPAF1",205.368090984833,1.91301473042165,0.26543661216324,7.20704922667251,5.71773377458286e-13,3.27244963031959e-10
"GLTSCR2",276.702506758739,-1.10454700028721,0.267900202475755,-4.1229793411118,3.74003253059431e-05,0.00106268205638801
"TMEM198",4.21483297977904,3.13794872644428,0.603415323874383,5.20031328720039,1.98952891058142e-07,1.4492210894714e-05
"FOXK1",2.1216692255835,3.42962969329625,0.851029708981447,4.0299764592249,5.57824390594468e-05,0.00144493348072304
"GLRA4",1.22520080603622,2.26986658675746,0.835026654818291,2.71831632398777,0.00656150749418868,0.0456645967415482
"BCL2L10",6.08620246520312,2.57771649148437,0.557909132227172,4.62031600234636,3.83156013114369e-06,0.000173066379044675
"LOC112531610",9082.08539234095,1.43510233395246,0.304569902985458,4.71189805652261,2.45420150977345e-06,0.000119421246744806
"OLFM1",24.7108369517388,-1.04873261242061,0.325609821456393,-3.22082610324782,0.00127821680814834,0.0144358970328811
"SMG5",52.627817456406,1.2932879908062,0.287660437422544,4.4958841139023,6.92814642390007e-06,0.000273014399570016
"PHF12",35.585460791643,2.58059277290427,0.362606559003012,7.11678459429862,1.10473933454579e-12,5.53244252579409e-10
"PGA5",9.12727762173476,3.259348332029,0.680072608792779,4.79264756422815,1.64594623609253e-06,8.67659114543692e-05
"MOSPD1",184.62869245404,1.33048825872075,0.369902285633849,3.59686411896829,0.000322076621276255,0.00528108991967163
"CS",595.613016617313,1.26905930112018,0.3732026962273,3.40045587545073,0.000672735924686756,0.00895416730765241
"TMEM161B",26.1718727073155,1.55300076107614,0.338341740923025,4.59003597025724,4.43169631678951e-06,0.000191599129609688
"TCEB3",23.3608775380048,-1.08372604861441,0.374828093410706,-2.8912615347296,0.00383698661867485,0.0314146745026247
"NDUFB8",257.245472313077,2.06324595204523,0.377643405368784,5.46347671563438,4.66898536634911e-08,4.15678037912222e-06
"ANAPC13",330.124802256528,1.09723442435195,0.260705466046292,4.20871277074458,2.56829615850132e-05,0.000781477253899426
"PLEKHM2",3.6911841662498,2.11941939873516,0.622412719095675,3.40516723664409,0.000661235461235712,0.00885996544993537
"KCNC1",6.66809873634877,2.10589018955027,0.619765285313106,3.39788342370026,0.000679093513040896,0.00899892495395648
"SRA1",16.6166383738753,1.40618601216638,0.301906175660564,4.65769210944319,3.19773974916244e-06,0.000149547214183593
"MARK3",161.431004702217,1.30939633795746,0.277323844273954,4.72154257556005,2.34062620887397e-06,0.000114824434303903
"LOC426626",88.4130810655795,1.87963677931303,0.285299916383057,6.58828366703531,4.44939951574695e-11,1.05867638801279e-08
"TLE4",38.192683774136,1.00204937418372,0.283792972097058,3.53091680452542,0.000414121980689185,0.00630044369306956
"VSNL1",48.5635703368483,1.11146883980551,0.359710566770971,3.08989766351008,0.00200225470952551,0.0195810409713483
"GHDC",5.5612449556283,2.24351016726851,0.462469584412637,4.85115182248775,1.22746538592747e-06,6.7058665788465e-05
"GALNT1",2.3246081722065,2.83461519845467,0.694646192511349,4.08066038367922,4.49079299849839e-05,0.00123298388440407
"ABI2",400.922366450433,1.35154142716789,0.197930929697707,6.82834880446453,8.58975334141021e-12,2.79027690298403e-09
"ABCC6",11.0254665584177,1.03787839029131,0.385991531637064,2.6888631102591,0.00716958132771854,0.0483402384882433
"ADK",64.1942289726818,1.01488646992152,0.218643009174384,4.64175129016852,3.45468541388774e-06,0.00015886648546498
"DPYS",52.7690043837929,1.29089957010229,0.326191437853194,3.95749066437259,7.57412466821545e-05,0.00182798000777674
"A2M",63.0401998924461,1.11215463853393,0.24295318709767,4.57764992433224,4.7022876123395e-06,0.000201127383675119
"AWAT1",15.5013166578136,1.14344046260226,0.358016683561212,3.19381893387871,0.00140404150374761,0.0154534568072734
"MTSS1L",12.2217758118285,1.53506743304569,0.391767958302181,3.91830776487764,8.9172804649731e-05,0.00207706964938976
"POLG",12.0786798011463,1.03840021341741,0.351408242078769,2.9549682935002,0.00312701185579762,0.0271319721503011
"KLHL5",10.35789378327,1.27644820345981,0.331031569374374,3.85597121710235,0.000115271051410447,0.00248732992262507
